LivingPlace,HouseholdID,HHeadSex,HHeadAge,HouseholdSize,FlowIncome,EducExpenditure,FamilyID
400678004,1,Male,19,1,32107.961,0,10193
1860322620,1,Female,19,2,13174.95,0,51519
1301882216,2,Male,19,2,21367.561,0,37188
1261345414,1,Male,19,3,3499.6399,0,36230
762360912,1,Male,19,1,10390.26,0,20929
2560983018,1,Male,19,3,40571.828,0,71897
807285603,1,Male,19,2,39839.602,0,23287
600212705,1,Male,19,3,22820.34,0,15840
808438416,1,Male,19,1,25141.289,0,23725
500322504,1,Male,19,3,32479.82,0,11851
260125610,1,Male,19,3,31229.49,0,5582
860154220,1,Male,19,11,88346.469,0,24234
503113902,1,Male,19,4,101372.73,0,13123
3201422324,1,Female,19,1,16583.09,0,87247
807590006,1,Male,19,3,54834.98,0,23390
806080203,1,Male,19,3,31945.029,0,22885
1460035908,2,Male,19,3,11437.98,0,40850
1701532804,1,Female,19,2,20459,0,47752
2260564622,1,Male,19,1,29304.41,14100,63609
860028512,1,Male,19,2,30203.789,0,23963
1203308815,1,Male,19,2,15985.3,0,34797
1108651506,1,Male,19,3,16963.471,0,32245
160122217,2,Male,19,2,13638.44,0,2143
460197720,1,Male,19,2,11670.49,0,11609
2060672605,1,Male,19,2,12836.06,0,56796
3063049402,1,Female,19,6,23523.9,290.32001,83259
1300807204,1,Female,19,1,22997.67,725.79999,36697
2301289003,1,Female,19,3,46903.422,0,64386
1760143510,1,Male,19,2,17082.82,0,49331
3160051707,1,Female,19,5,43772.941,5550,85518
600003804,1,Female,19,1,26094.26,8070,15627
3000819501,1,Male,19,5,21535.4,3483.8601,80974
1204421810,1,Male,19,3,6727.8599,0,35151
1702480619,1,Male,19,5,54295.059,0,48220
2101839203,1,Male,19,2,26678.539,0,58100
200428204,1,Female,19,3,27798.289,87.089996,2764
1060378217,1,Male,19,1,5704.3398,0,30521
2502264606,1,Female,19,3,36528.129,0,69515
2806000602,1,Female,19,1,9442.6201,0,77584
2200569404,1,Female,19,3,15727.9,0,60291
1410254714,1,Female,19,3,22682.93,3000,39998
601027001,1,Male,19,2,34432.781,0,16714
1604955924,1,Male,19,3,24039.971,0,46072
1660233802,1,Female,19,2,22830.869,0,46495
860564311,1,Female,19,2,19099.039,0,24890
2901900815,1,Male,19,2,9245.9004,2100,80246
3200437205,1,Female,19,1,22499.99,14516.12,86754
260028401,2,Male,19,1,36743.379,0,4903
1160714618,1,Male,19,3,161610.16,0,32981
2960241012,1,Male,19,1,20029.52,0,80834
2002764205,1,Male,19,1,23940.43,5791.9302,55931
2303005809,2,Female,19,2,28714.92,0,65269
1702799020,1,Male,19,3,27816.301,0,48356
1460300703,1,Male,19,4,37416.391,0,40938
2604544803,1,Male,19,2,21043.619,6300,72978
803691201,1,Female,19,2,39268.621,0,22098
2301310705,1,Male,19,3,26936.039,0,64400
3008798004,1,Male,19,4,36662.648,0,81914
1660242718,1,Male,19,5,39263.078,0,46526
807827205,1,Male,19,1,26261.41,0,23439
505897624,1,Male,19,4,30160.859,0,14332
3008311811,1,Female,19,3,20685.24,0,81807
3062626814,1,Female,19,1,8145.8198,0,83165
360204003,1,Female,19,3,84784.617,0,9512
205466403,1,Female,19,1,4838.73,4935.48,3811
2260384414,1,Male,19,4,36571.191,359.98999,62925
1261157518,2,Male,19,3,3166.76,0,36115
102331201,1,Male,19,3,37978.012,0,1608
1700281802,1,Male,19,4,12688.51,0,47228
704601506,1,Male,19,1,30524.881,0,19978
360204714,3,Male,19,1,33078.672,0,9524
1900387706,1,Female,19,4,22967.18,0,51843
1002171204,1,Male,19,1,7069.8301,0,29154
762530804,1,Male,19,1,16966.211,0,20981
3202653609,2,Male,19,2,7386.1699,0,87984
1060255815,1,Male,19,3,17781.83,0,30397
600395303,1,Male,19,3,17608.689,0,16011
1960373621,1,Male,19,4,15422.23,0,54931
2260592411,1,Female,19,3,30025.359,0,63642
600388601,1,Female,19,1,38427.039,6600,16001
206256203,1,Female,19,3,45998.801,0,3976
360204714,4,Male,19,1,33880.309,0,9525
2603385901,1,Male,19,1,23149.539,0,72716
500672306,1,Female,19,4,33791.781,0,11992
3005959204,1,Male,19,2,19096.27,0,81455
2200938605,1,Male,19,1,22401.631,0,60464
1260687913,2,Male,19,3,13376.97,0,35830
2604585406,1,Female,19,6,42260.82,0,72984
504752804,2,Female,19,3,41710.219,0,13693
2701598012,1,Female,19,2,46907.578,1596.76,75057
3008946822,1,Male,19,1,24094.08,0,81953
1411392913,1,Male,19,2,56047.73,0,40148
2660334922,1,Male,19,3,35988.621,0,73970
206918921,1,Male,19,2,30987.9,2903.22,4131
860889901,1,Male,19,2,22957.561,20322.58,25392
3008798020,1,Female,19,2,28386.9,0,81918
400662406,1,Male,19,3,55513.551,0,10179
3200579304,2,Female,19,3,15480.96,0,86835
860658209,1,Female,19,3,29427.84,0,25055
2160678006,1,Female,19,3,15547.81,232.25,59450
1404680006,2,Male,19,3,24388.641,0,39218
807924206,2,Male,19,3,48728.859,0,23446
2760423215,1,Male,19,1,11314.7,0,75866
360204714,1,Male,19,1,31168.02,0,9522
2805253003,1,Male,19,3,37204.82,1451.6,77442
2860516524,1,Male,19,3,12943.01,0,78674
1161260718,1,Male,19,1,40957.219,0,33437
300965318,1,Female,19,2,90053.039,870.96002,7887
360011414,1,Female,20,2,24377.609,0,8742
504237702,1,Male,20,2,42491.781,0,13525
2403945718,1,Female,20,4,27956.17,1500,67228
1660200204,1,Male,20,3,39894.148,1741.9301,46463
502402806,1,Male,20,3,42562,0,12757
2202814703,1,Female,20,3,36735.93,0,61686
1000926906,1,Male,20,3,29944.99,0,28644
2200869905,2,Male,20,4,17241.84,0,60433
804738806,1,Male,20,2,52431.719,0,22393
2300989306,1,Male,20,2,25508.609,0,64217
1201726905,1,Female,20,3,20068.27,0,34394
1605204403,1,Male,20,3,50429.32,0,46126
2500675705,1,Female,20,1,22204.91,11400,68784
2901363304,3,Male,20,3,8902.1699,0,79781
3102892403,1,Male,20,2,17801.17,0,84636
202041704,1,Male,20,2,62950.801,0,3119
260120411,1,Male,20,3,40793.469,0,5523
501808802,1,Male,20,4,50639.84,0,12464
660011714,1,Male,20,2,22573.75,0,17815
760590015,2,Male,20,2,14799.09,0,20281
2106296908,2,Male,20,3,16165.74,0,58859
3202182714,1,Female,20,3,29828.529,0,87785
1801613817,1,Female,20,3,32847.789,0,50808
1602377802,2,Male,20,3,59507.422,0,45404
3103530624,1,Male,20,1,8232.0703,7794,85041
101476906,1,Male,20,3,32542.52,0,948
808063409,1,Female,20,2,10614.12,0,23512
560396613,1,Male,20,3,6801.6299,0,15559
503112405,1,Male,20,3,27293.471,0,13120
2302180403,1,Female,20,2,21092.369,1741.9301,64845
102082001,1,Female,20,2,40350.578,0,1313
2301407301,1,Male,20,2,56683.398,0,64444
1701257501,1,Male,20,2,25288.029,0,47644
102192708,1,Female,20,1,34709.422,0,1422
2160016714,1,Male,20,2,32423.82,0,59402
3160164012,1,Male,20,3,28546.24,0,85721
1560671308,1,Male,20,3,18799.949,0,44085
360010520,1,Male,20,1,20235.211,0,8733
560212008,1,Male,20,3,18140.711,0,15205
2504655003,1,Male,20,4,28043.529,0,70829
3063049911,1,Male,20,3,13487.36,0,83268
2805346701,1,Male,20,2,22180.32,0,77456
1561912602,2,Female,20,3,16345.8,0,44831
1060225009,1,Female,20,2,60417.898,0,30250
2604056202,1,Female,20,4,39582.078,0,72857
160260005,1,Male,20,2,26946.77,0,2650
502470805,1,Male,20,1,22011.41,0,12804
360014218,2,Male,20,1,32310.279,0,8769
207774306,1,Female,20,3,31700.99,4354.8301,4377
762317310,1,Male,20,9,25757.82,0,20881
2301619706,1,Male,20,5,17237.689,0,64555
301057509,1,Female,20,5,42193.75,0,8040
760222017,2,Female,20,3,11445.64,0,20089
260032518,1,Male,20,2,23869.561,0,4923
360061309,1,Male,20,4,19394.01,0,9046
301341310,1,Male,20,4,11739.13,0,8437
1161035306,1,Female,20,3,33702.648,0,33220
300662302,1,Male,20,3,37686.352,0,7533
2102520002,1,Male,20,3,19109.211,0,58189
700466701,1,Male,20,2,13292.72,0,18992
160179406,2,Male,20,3,29849.641,0,2311
1400574206,1,Female,20,2,100483.5,38264.5,38789
2302653304,1,Female,20,4,53324.68,13354.83,65046
860790412,1,Male,20,3,20212.83,0,25190
806701605,1,Male,20,4,47114.719,0,23061
2701356521,1,Male,20,2,22912.24,0,74990
1000272906,1,Female,20,1,30710.131,0,28310
400350702,1,Female,20,5,118614.88,0,9856
2400243903,1,Male,20,3,17114.65,0,66035
1508727705,1,Male,20,3,18713.1,0,42138
1000107202,1,Male,20,1,18469.76,0,28223
160148724,1,Male,20,3,15748.94,0,2218
2500326906,1,Female,20,2,76176.523,0,68652
1361425502,1,Female,20,2,11468.59,0,38589
761592217,1,Male,20,3,16665.77,0,20558
909713504,1,Female,20,3,51295.621,0,26482
805329204,1,Male,20,1,28079.9,0,22580
1702799417,1,Male,20,3,15424.95,0,48368
805020304,1,Male,20,1,26577.119,0,22469
601061801,2,Male,20,1,29016.391,0,16741
1560626811,2,Male,20,4,17901.631,0,44045
3102698904,1,Male,20,2,38847.98,0,84513
2605257816,1,Male,20,3,236065.56,6600,73121
1060040913,1,Male,20,3,13858.47,0,29722
1960154009,2,Male,20,3,28461.07,0,54312
1801770615,1,Male,20,1,59923.699,0,51061
204335305,1,Female,20,5,30327.92,0,3590
1107202501,2,Male,20,3,26608.68,0,31932
1461287513,2,Male,20,2,27807.039,0,41428
207836809,3,Male,20,2,50937.359,0,4393
1910351609,1,Male,20,3,30829,0,53420
2560508211,1,Female,20,3,24876.789,0,71568
600890302,1,Female,20,3,25889.59,0,16572
301381814,1,Female,20,1,13411.47,15900,8574
1800823401,1,Female,20,2,57161.398,12048.38,50178
505030705,1,Male,20,4,17454.09,0,13836
1560414802,1,Female,20,3,18934.42,1200,43866
807772005,1,Male,20,1,34731.641,0,23433
207955801,1,Female,20,1,34576.109,0,4411
2002024320,2,Male,20,2,12061.9,0,55768
3201219424,1,Male,20,3,30544.221,0,87154
1661263317,1,Female,20,3,6333.4199,580.64001,46790
203213001,1,Male,20,1,23771.73,0,3329
3160001215,1,Female,20,3,18054.85,0,85390
400081204,1,Male,20,2,18077.789,0,9618
102207917,1,Female,20,1,34304.781,6486.48,1466
808438606,1,Female,20,1,23357.17,4500,23734
806464903,1,Male,20,1,66406.773,4180.6401,23013
560387211,1,Female,20,3,41467.988,0,15484
1300588501,3,Female,20,1,92622.906,0,36643
2700164703,1,Female,20,1,16664.26,0,74399
2260056604,2,Male,20,2,30688.52,0,61892
960008808,2,Male,20,3,18885.24,0,27751
2061846810,1,Male,20,3,10763.13,0,57532
260048415,1,Male,20,3,39796.121,0,5022
660083010,2,Male,20,4,42870.941,0,18594
3260718010,2,Male,20,3,12365.21,0,88889
2460009322,3,Male,20,2,15316.19,0,67332
1508758501,1,Male,20,1,29959.221,0,42140
660102720,1,Male,20,3,30924.58,0,18794
1201832805,2,Male,20,2,26715.43,0,34429
1901589905,1,Male,20,1,43612.18,0,52101
600340405,1,Male,20,3,42352.102,0,15959
2605057605,2,Male,20,2,32459,0,73073
1203155914,1,Female,20,3,19956.52,0,34735
2900541305,1,Male,20,4,15009.19,0,79172
3201523322,1,Male,20,1,44815.488,0,87401
1701812804,1,Female,20,3,18774.58,0,47891
1660233321,1,Male,20,1,19076.08,0,46484
2108027706,2,Male,20,3,18511.461,0,59335
1414172806,1,Male,20,3,44252.66,0,40593
2701271915,1,Female,20,1,13844.41,0,74900
1960096519,1,Male,20,3,53568.75,0,54175
1801305902,1,Female,20,3,31296.23,0,50548
1201208003,1,Female,20,2,28139.891,0,34289
3101139004,1,Female,20,2,39078.328,6387.0898,83974
1701715313,1,Male,20,2,16093.96,0,47853
400436703,2,Male,20,1,6377.4199,0,9957
601314202,1,Male,20,3,28087.91,0,17058
860011810,1,Male,20,2,68515.57,0,23921
3200666702,1,Male,20,4,36014.719,0,86905
2560925819,1,Male,20,4,26377.801,1200,71852
860304011,1,Male,20,2,26350.699,0,24485
2104304902,1,Female,20,3,13989.13,0,58429
2400778304,1,Male,20,3,58201.781,18870.961,66157
360014010,1,Male,20,3,47378.461,2177.4099,8766
202165202,1,Female,20,1,26854.609,0,3140
360204524,1,Male,20,2,73773.469,0,9520
804240201,1,Male,20,3,76848.547,0,22201
960004316,1,Female,20,2,32213.369,0,27677
600733904,1,Male,20,3,36336.039,0,16384
1560494408,1,Female,20,1,16929.35,0,43942
3200957501,1,Male,20,3,13110.06,0,87032
1702941218,1,Male,20,3,5359.4199,0,48445
1260660214,1,Male,20,3,12768.29,0,35800
660015923,1,Male,20,2,54415.789,1161.29,17839
1301635722,1,Male,20,2,49970.262,0,37053
1603089305,1,Male,20,2,40499.949,4935.48,45515
1604684805,1,Male,20,4,30703.27,3000,46022
100732305,3,Male,20,3,20674.18,0,415
506246015,1,Male,20,4,26489.891,0,14480
601263001,2,Female,20,2,57842.379,3338.7,16954
2701043420,1,Female,20,3,28125.539,0,74763
3260353523,1,Female,20,2,18751.039,580.64001,88378
205196602,1,Female,20,1,28753.02,0,3765
1060060404,2,Male,20,2,22765.49,0,29772
2103801801,3,Male,20,3,19071.92,0,58354
260010916,1,Female,20,1,5991.8398,0,4747
400613605,1,Female,20,3,26820.949,0,10129
100318205,1,Male,20,2,33702.91,0,176
2002768005,1,Female,20,3,61775.379,4645.1602,55937
1460652506,1,Male,20,3,14550.84,0,41108
2260220017,1,Female,20,2,18109.949,0,62425
1904685403,1,Male,20,1,14796.18,0,52618
504166806,1,Male,20,3,53325.539,1500,13495
1601079606,2,Male,20,1,6393.4302,9000,45208
2260287308,1,Female,20,5,32961.922,145.16,62697
2403072704,1,Male,20,1,40809.828,0,66827
1905354801,1,Male,20,2,45196.691,0,52706
660005512,1,Male,20,3,87734.289,0,17743
3201627217,1,Male,20,2,19783.391,0,87453
1103919006,1,Male,20,3,15908.18,0,31474
160079404,1,Male,20,3,19344.25,0,2028
703145220,1,Male,20,1,11868.13,0,19558
1404743203,1,Female,20,4,26703.289,0,39222
1801067807,1,Male,20,2,41803.262,0,50348
1360449608,1,Male,20,2,33955.469,0,37987
401444216,1,Male,20,1,22126.33,0,11130
2302493205,1,Female,20,1,9197.79,0,64966
2660402324,1,Male,20,1,20034.539,0,73996
206277504,1,Male,20,4,31157.6,0,3988
3100762506,1,Male,20,3,42065.199,13064.51,83842
301257309,1,Male,20,2,22188.51,0,8356
560396704,1,Male,20,1,31921.48,0,15565
1604836508,1,Male,20,4,39391.379,0,46045
2061407413,2,Male,20,3,20571.41,0,57306
3061048220,1,Male,20,2,35886.66,0,82482
400627406,1,Female,20,1,16594.391,0,10142
1003011002,1,Female,20,4,36168.5,3483.8701,29419
3160455424,1,Male,20,3,18573.539,0,86271
3061933711,2,Male,20,4,29534.83,0,82851
1660233806,1,Male,20,2,43554.691,0,46499
2800659504,1,Female,20,1,12543.43,7838.7002,76596
2402465202,1,Male,20,3,53492.211,0,66614
101378902,2,Female,20,3,5443.8599,29.030001,886
1960422502,1,Male,20,3,18313.131,0,55023
960008603,1,Male,20,3,33393.43,0,27741
2104727706,2,Male,20,3,19954.74,1677,58501
501526502,1,Male,20,2,18722.279,16316.12,12367
2804897702,1,Male,20,1,45984.961,0,77351
1203958924,1,Male,20,4,23160.57,0,35004
1520542516,1,Male,20,6,39845.91,0,42865
3160361418,1,Male,20,3,5250.6602,0,86066
2260414312,1,Female,20,3,22406.891,0,63020
2160871708,1,Male,20,3,10054.54,0,59526
3103522923,1,Male,20,1,27895.471,0,85025
2505167814,1,Male,20,3,46862.461,0,71238
360010211,1,Female,20,3,62796.309,0,8730
204644504,1,Male,20,1,21498.84,0,3659
3260229819,1,Male,20,4,19082.65,0,88231
2605199003,1,Male,20,2,28357.26,0,73097
360022212,2,Male,20,3,22747.24,0,8805
500717903,1,Female,20,3,11305.23,725.79999,12031
1509039905,1,Male,20,3,10076.08,455.79999,42171
203446602,1,Male,20,2,26262.289,0,3389
2300265702,1,Male,20,3,18885.23,0,63898
1520542711,1,Male,20,3,19278.68,5646,42870
2702040310,1,Male,20,3,14576.08,0,75407
2402397006,1,Female,20,1,23247.039,10741.93,66613
360101317,1,Male,20,3,45328.602,0,9128
2804457606,1,Male,20,3,38665.551,0,77268
600903904,1,Female,20,2,30936.5,0,16584
2403792714,2,Male,20,3,11803.27,0,67103
505458402,1,Male,20,3,65366.738,0,13953
2605817518,1,Male,20,2,22651.051,0,73330
1160163201,1,Male,20,2,27992.16,0,32435
1405631403,1,Female,20,2,26711.24,0,39368
2302365702,1,Male,20,3,92693.781,4500,64929
1600455204,1,Female,20,3,58252.641,0,45089
1103919002,1,Male,20,5,22628.529,0,31471
801272506,1,Male,20,3,22720.09,5516.1201,21410
300744523,1,Male,20,2,45546.379,0,7580
807177305,1,Male,20,3,57204.379,5806.4502,23255
1509692402,1,Male,21,3,19020.16,0,42222
2901826602,1,Male,21,3,15226.22,0,80175
1060153605,1,Female,21,3,26915.68,300,30033
1160863218,3,Male,21,3,8195.2305,0,33073
260035321,1,Male,21,6,51960.891,0,4948
601075405,1,Female,21,2,60652.16,0,16763
260206506,1,Male,21,3,22117.359,0,5884
860460304,1,Male,21,4,46349.828,0,24705
1561525412,1,Male,21,5,12851.67,185.78999,44567
401240213,1,Male,21,2,30920.221,3774.1899,10853
1801811324,1,Female,21,1,27642.779,2322.5801,51113
208069007,1,Male,21,6,38959.219,0,4577
2201220504,1,Male,21,1,40701.949,0,60612
2701382302,1,Male,21,4,15202,0,75010
808110217,1,Male,21,3,99186.547,0,23524
500322505,1,Male,21,6,36978.23,1161.29,11852
860353519,1,Male,21,3,32989.422,0,24585
760417801,1,Female,21,1,12682.56,0,20211
401095420,1,Female,21,2,26558.76,0,10612
503024403,2,Male,21,2,32967.371,0,13059
1100266204,1,Female,21,2,30956.02,0,30949
1160195212,2,Male,21,3,19028.561,0,32472
2604195401,2,Male,21,4,16907.93,0,72891
2402992206,1,Female,21,9,159264.2,17709.66,66775
1605204419,1,Male,21,3,32500.109,0,46130
260331820,1,Male,21,1,57663.93,25800,6479
1401943502,1,Male,21,2,12717.39,0,38911
2603488204,1,Male,21,3,30550.471,0,72734
2560036020,1,Female,21,1,14352.79,0,71335
860922721,1,Male,21,3,42811.461,0,25527
1410929820,1,Male,21,3,24823.59,0,40110
2103382703,1,Male,21,1,6475.21,5574,58292
1860394805,1,Male,21,3,65547.523,0,51665
660078805,1,Female,21,3,11066.36,0,18532
1528370803,1,Female,21,2,31512.609,900,43490
2801846203,1,Male,21,4,23895.529,0,76803
2161189323,2,Male,21,2,10282.19,0,59745
